"filename", "language", "YAML", "Properties", "Markdown", "JSON", "C++", "Groovy", "Swift", "XML", "Ruby", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 11, 13, 98
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_purchase.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 64, 18, 281
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\summary\summary_rental.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 22, 17, 307
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\confirm_rent-old.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 6, 28
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 11, 12, 59
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\rent_this_with_date_selecter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 105, 44, 478
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 1, 8, 105
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 1, 8, 104
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\send_message_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 6, 52
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\to_rent.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 48, 26, 434
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\to_rent\user_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 9, 18, 84
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\class_store.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 16, 23, 347
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\services\firestore_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 10, 24, 167
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\booked_html_template.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\bottom_navbar_buttons.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\filters_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 589, 0, 29, 31, 649
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\fitting_session_html_template.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\get_country_price.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 7, 36
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\get_current_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 5, 20
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\html_template.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\item_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 34, 31, 344
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\item_results.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 16, 24, 399
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\line.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 9, 5, 35
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\loading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\message_to_owner.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 1, 15, 130
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\no_items_found.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 5, 31
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\secure_repo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\send_email.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 6, 23, 137
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\send_email2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 12, 24, 127
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\send_line.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\send_sms.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 5, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\send_whatsapp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\sms.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 8, 51
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\styled_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 24, 142
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\shared\whatsapp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 5, 26
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 5, 7, 73
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\linux\my_application.cc", "C++", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 10, 44
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
